"Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"S4",2015,2015,2015,5,1,1,"Import",699,"India","IND",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",8,"Weight in kilograms",44000,NA,NA,NA,44000,NA,17327,NA,NA,0
"S4",2015,2015,2015,5,1,1,"Import",699,"India","IND",300,"Greece","GRC",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",8,"Weight in kilograms",20000,NA,NA,NA,20000,NA,8022,NA,NA,0
"S4",2015,2015,2015,5,1,1,"Import",699,"India","IND",392,"Japan","JPN",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",8,"Weight in kilograms",24000,NA,NA,NA,24000,NA,9305,NA,NA,0
"S4",2015,2015,2015,5,1,1,"Import",699,"India","IND",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",8,"Weight in kilograms",23650,NA,NA,NA,23650,NA,1787,NA,NA,0
"S4",2015,2015,2015,5,1,1,"Import",699,"India","IND",276,"Germany","DEU",NA,NA,NA,NA,NA,NA,NA,27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",8,"Weight in kilograms",21000,NA,NA,NA,21000,NA,1284,NA,NA,0
"S4",2015,2015,2015,5,1,1,"Import",699,"India","IND",360,"Indonesia","IDN",NA,NA,NA,NA,NA,NA,NA,27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",8,"Weight in kilograms",2650,NA,NA,NA,2650,NA,503,NA,NA,0
"S4",2015,2015,2015,5,1,1,"Import",699,"India","IND",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,28231,"Waste & scrap of tinned iron/steel",8,"Weight in kilograms",8471102,NA,NA,NA,8471102,NA,2863131,NA,NA,0
"S4",2015,2015,2015,5,1,1,"Import",699,"India","IND",48,"Bahrain","BHR",NA,NA,NA,NA,NA,NA,NA,28231,"Waste & scrap of tinned iron/steel",8,"Weight in kilograms",319500,NA,NA,NA,319500,NA,105191,NA,NA,0
"S4",2015,2015,2015,5,1,1,"Import",699,"India","IND",204,"Benin","BEN",NA,NA,NA,NA,NA,NA,NA,28231,"Waste & scrap of tinned iron/steel",8,"Weight in kilograms",275000,NA,NA,NA,275000,NA,89966,NA,NA,0
"S4",2015,2015,2015,5,1,1,"Import",699,"India","IND",276,"Germany","DEU",NA,NA,NA,NA,NA,NA,NA,28231,"Waste & scrap of tinned iron/steel",8,"Weight in kilograms",100000,NA,NA,NA,100000,NA,45558,NA,NA,0
