"Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",8,"Weight in kilograms",1478860808,NA,NA,NA,1478860808,NA,15869427,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",40,"Austria","AUT",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",8,"Weight in kilograms",100,NA,NA,NA,100,NA,48,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",50,"Bangladesh","BGD",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",8,"Weight in kilograms",908153000,NA,NA,NA,908153000,NA,10045802,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",144,"Sri Lanka","LKA",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",8,"Weight in kilograms",8326010,NA,NA,NA,8326010,NA,96029,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",288,"Ghana","GHA",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",8,"Weight in kilograms",12020,NA,NA,NA,12020,NA,1698,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",360,"Indonesia","IDN",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",8,"Weight in kilograms",621000,NA,NA,NA,621000,NA,145195,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",414,"Kuwait","KWT",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",8,"Weight in kilograms",602000,NA,NA,NA,602000,NA,62045,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",458,"Malaysia","MYS",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",8,"Weight in kilograms",2255000,NA,NA,NA,2255000,NA,174631,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",512,"Oman","OMN",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",8,"Weight in kilograms",87000,NA,NA,NA,87000,NA,5064,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",524,"Nepal","NPL",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",8,"Weight in kilograms",238833000,NA,NA,NA,238833000,NA,1856506,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",586,"Pakistan","PAK",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",8,"Weight in kilograms",48248000,NA,NA,NA,48248000,NA,725991,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",634,"Qatar","QAT",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",8,"Weight in kilograms",284000,NA,NA,NA,284000,NA,13388,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",682,"Saudi Arabia","SAU",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",8,"Weight in kilograms",26492000,NA,NA,NA,26492000,NA,369784,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",784,"United Arab Emirates","ARE",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",8,"Weight in kilograms",244947008,NA,NA,NA,244947008,NA,2373113,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",800,"Uganda","UGA",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",8,"Weight in kilograms",120,NA,NA,NA,120,NA,75,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",842,"USA","USA",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",8,"Weight in kilograms",550,NA,NA,NA,550,NA,56,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",8,"Weight in kilograms",365368860,NA,NA,NA,365368860,NA,22392498,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",64,"Bhutan","BTN",NA,NA,NA,NA,NA,NA,NA,27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",8,"Weight in kilograms",2346335,NA,NA,NA,2346335,NA,177169,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",8,"Weight in kilograms",290013000,NA,NA,NA,290013000,NA,18190521,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",276,"Germany","DEU",NA,NA,NA,NA,NA,NA,NA,27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",8,"Weight in kilograms",28000,NA,NA,NA,28000,NA,4918,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",344,"China, Hong Kong SAR","HKG",NA,NA,NA,NA,NA,NA,NA,27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",8,"Weight in kilograms",27000,NA,NA,NA,27000,NA,5397,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",458,"Malaysia","MYS",NA,NA,NA,NA,NA,NA,NA,27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",8,"Weight in kilograms",842000,NA,NA,NA,842000,NA,47723,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",512,"Oman","OMN",NA,NA,NA,NA,NA,NA,NA,27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",8,"Weight in kilograms",120000,NA,NA,NA,120000,NA,14431,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",524,"Nepal","NPL",NA,NA,NA,NA,NA,NA,NA,27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",8,"Weight in kilograms",3884500,NA,NA,NA,3884500,NA,279316,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",608,"Philippines","PHL",NA,NA,NA,NA,NA,NA,NA,27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",8,"Weight in kilograms",68054000,NA,NA,NA,68054000,NA,3659749,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",702,"Singapore","SGP",NA,NA,NA,NA,NA,NA,NA,27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",8,"Weight in kilograms",54000,NA,NA,NA,54000,NA,13267,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",834,"United Rep. of Tanzania","TZA",NA,NA,NA,NA,NA,NA,NA,27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",8,"Weight in kilograms",25,NA,NA,NA,25,NA,9,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,28231,"Waste & scrap of tinned iron/steel",8,"Weight in kilograms",1001000,NA,NA,NA,1001000,NA,322602,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",50,"Bangladesh","BGD",NA,NA,NA,NA,NA,NA,NA,28231,"Waste & scrap of tinned iron/steel",8,"Weight in kilograms",1001000,NA,NA,NA,1001000,NA,322602,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,28233,"Remelting scrap ingots of iron/steel",8,"Weight in kilograms",1800,NA,NA,NA,1800,NA,487,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",686,"Senegal","SEN",NA,NA,NA,NA,NA,NA,NA,28233,"Remelting scrap ingots of iron/steel",8,"Weight in kilograms",1800,NA,NA,NA,1800,NA,487,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,52254,"Iron oxides & hydroxides; earth colours containing 70%/more by weight of combined iron evaluated as Fe203",8,"Weight in kilograms",21034301,NA,NA,NA,21034301,NA,6733272,NA,NA,6
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",32,"Argentina","ARG",NA,NA,NA,NA,NA,NA,NA,52254,"Iron oxides & hydroxides; earth colours containing 70%/more by weight of combined iron evaluated as Fe203",8,"Weight in kilograms",25400,NA,NA,NA,25400,NA,9992,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",36,"Australia","AUS",NA,NA,NA,NA,NA,NA,NA,52254,"Iron oxides & hydroxides; earth colours containing 70%/more by weight of combined iron evaluated as Fe203",8,"Weight in kilograms",3078,NA,NA,NA,3078,NA,7084,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",48,"Bahrain","BHR",NA,NA,NA,NA,NA,NA,NA,52254,"Iron oxides & hydroxides; earth colours containing 70%/more by weight of combined iron evaluated as Fe203",8,"Weight in kilograms",4626,NA,NA,NA,4626,NA,1929,NA,NA,0
"S4",2015,2015,2015,5,1,2,"Export",699,"India","IND",50,"Bangladesh","BGD",NA,NA,NA,NA,NA,NA,NA,52254,"Iron oxides & hydroxides; earth colours containing 70%/more by weight of combined iron evaluated as Fe203",8,"Weight in kilograms",66535,NA,NA,NA,66535,NA,154452,NA,NA,0
