"Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"S4",2010,2010,2010,5,1,2,"Export",699,"India","IND",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",1,"No Quantity",NA,NA,NA,NA,NA,NA,1127961,NA,NA,0
"S4",2010,2010,2010,5,1,2,"Export",699,"India","IND",50,"Bangladesh","BGD",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",1,"No Quantity",NA,NA,NA,NA,NA,NA,517920,NA,NA,0
"S4",2010,2010,2010,5,1,2,"Export",699,"India","IND",64,"Bhutan","BTN",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",1,"No Quantity",NA,NA,NA,NA,NA,NA,19818,NA,NA,0
"S4",2010,2010,2010,5,1,2,"Export",699,"India","IND",262,"Djibouti","DJI",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",1,"No Quantity",NA,NA,NA,NA,NA,NA,700,NA,NA,0
"S4",2010,2010,2010,5,1,2,"Export",699,"India","IND",276,"Germany","DEU",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",1,"No Quantity",NA,NA,NA,NA,NA,NA,67641,NA,NA,0
"S4",2010,2010,2010,5,1,2,"Export",699,"India","IND",288,"Ghana","GHA",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",1,"No Quantity",NA,NA,NA,NA,NA,NA,68,NA,NA,0
"S4",2010,2010,2010,5,1,2,"Export",699,"India","IND",344,"China, Hong Kong SAR","HKG",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",1,"No Quantity",NA,NA,NA,NA,NA,NA,43058,NA,NA,0
"S4",2010,2010,2010,5,1,2,"Export",699,"India","IND",404,"Kenya","KEN",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",1,"No Quantity",NA,NA,NA,NA,NA,NA,1067,NA,NA,0
"S4",2010,2010,2010,5,1,2,"Export",699,"India","IND",512,"Oman","OMN",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",1,"No Quantity",NA,NA,NA,NA,NA,NA,19348,NA,NA,0
"S4",2010,2010,2010,5,1,2,"Export",699,"India","IND",524,"Nepal","NPL",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",1,"No Quantity",NA,NA,NA,NA,NA,NA,146713,NA,NA,0
"S4",2010,2010,2010,5,1,2,"Export",699,"India","IND",757,"Switzerland","CHE",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",1,"No Quantity",NA,NA,NA,NA,NA,NA,1,NA,NA,0
"S4",2010,2010,2010,5,1,2,"Export",699,"India","IND",784,"United Arab Emirates","ARE",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",1,"No Quantity",NA,NA,NA,NA,NA,NA,233112,NA,NA,0
"S4",2010,2010,2010,5,1,2,"Export",699,"India","IND",826,"United Kingdom","GBR",NA,NA,NA,NA,NA,NA,NA,27861,"Granulated slag (slag sand) from the manufacture of iron/steel",1,"No Quantity",NA,NA,NA,NA,NA,NA,78514,NA,NA,0
"S4",2010,2010,2010,5,1,2,"Export",699,"India","IND",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",1,"No Quantity",NA,NA,NA,NA,NA,NA,89386097,NA,NA,0
"S4",2010,2010,2010,5,1,2,"Export",699,"India","IND",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",1,"No Quantity",NA,NA,NA,NA,NA,NA,83115046,NA,NA,0
"S4",2010,2010,2010,5,1,2,"Export",699,"India","IND",208,"Denmark","DNK",NA,NA,NA,NA,NA,NA,NA,27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",1,"No Quantity",NA,NA,NA,NA,NA,NA,28,NA,NA,0
"S4",2010,2010,2010,5,1,2,"Export",699,"India","IND",262,"Djibouti","DJI",NA,NA,NA,NA,NA,NA,NA,27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",1,"No Quantity",NA,NA,NA,NA,NA,NA,966,NA,NA,0
"S4",2010,2010,2010,5,1,2,"Export",699,"India","IND",276,"Germany","DEU",NA,NA,NA,NA,NA,NA,NA,27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",1,"No Quantity",NA,NA,NA,NA,NA,NA,27,NA,NA,0
