"Product","Commodity","Afghanistan","Albania","Algeria","Angola","Argentina","Armenia","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Benin","Bermuda","Bolivia","Bosnia Herzegovina","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Cambodia","Cameroon","Canada","Cayman Isds","Chad","Chile","China","Colombia","Congo","Congo Democratic","Costa Rica","Côte d'Ivoire","Cote de voire","Croatia","Cuba","Cyprus","Czechia","Denmark","Dominican Rep.","Ecuador","Egypt","El Salvador","Equatorial Guinea","Estonia","Ethiopia","Finland","France","Gabon","Georgia","Germany","Ghana","Greece","Guatemala","Guinea","Haiti","Honduras","Hong Kong","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kuwait","Kyrgyzstan","Laos","Latvia","Lebanon","Libya","Lithuania","Luxembourg","Macao","Macedonia","Madagascar","Malawi","Malaysia","Mali","Malta","Mauritania","Mauritius","Mexico","Moldova","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Nepal","Netherlands","New Zealand","Nicaragua","Niger","Nigeria","Norway","Oman","Pakistan","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Qatar","Romania","Russia","Rwanda","Saudi Arabia","Senegal","Serbia","Singapore","Slovakia","Slovenia","South Africa","South Korea","Spain","Sri Lanka","State of Palestine","Sudan","Suriname","Swaziland","Sweden","Switzerland","Tajikistan","Tanzania","TFYR of Macedonia","Thailand","Timor-Leste","Togo","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","UAE","Uganda","Ukraine","United Kingdom","Uruguay","USA","Uzbekistan","Venezuela","Vietnam","World","Yemen","Zambia","Zimbabwe"
27861,"Granulated slag (slag sand) from the manufacture of iron/steel",0,0,0,0,0,0,0,0,0,0,0,3132774,0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,2007814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,21871,0,0,0,0,0,0,0,0,0,1121,178210,0,0,0,0,0,0,0,0,0,0,0,184916,0,0,0,0,0,0,0,0,0,0,0,0,7848006,0,0,0,0,0,0,9199,305180,0,0,0,0,0,0,0,295244,0,0,0,1359,0,0,3503,0,0,0,0,0,2412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1304599,0,0,12647,0,0,0,0,8918,17002410,0,0,0
27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",0,0,0,4247,0,0,0,0,0,0,8344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10532793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669915,0,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,520555,0,0,0,0,0,0,0,0,0,0,0,0,570892,0,0,0,0,0,0,0,0,0,0,0,0,6232193,0,0,31379,0,0,0,0,0,0,6176,0,0,0,0,39712,9,0,0,0,0,0,0,0,0,0,3627,0,0,0,0,0,0,0,0,0,0,0,1154,0,0,0,19568323,0,0,0
28231,"Waste & scrap of tinned iron/steel",0,0,0,0,0,0,0,0,0,0,0,92526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,92565,0,0,0
28233,"Remelting scrap ingots of iron or steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52254,"Iron oxides & hydroxides; earth colours containing 70%/more by weight of combined iron evaluated as Fe203",0,0,43688,0,38161,0,11422,0,0,0,0,478262,0,1101,0,0,0,0,0,103,48969,24,2289,0,0,0,2702,0,0,7370,497074,23901,3112,4979,0,0,2622,37308,0,0,0,0,1069,51174,210250,0,0,0,3499,0,48078,0,0,115205,144454,18086,0,21616,9,0,35998,0,0,0,74567,50331,106091,0,2434,19991,0,4752,4772,0,359160,74856,0,0,0,74185,0,0,9218,0,0,0,4404,56190,0,0,0,3248,299663,0,0,0,91,10818,0,0,267707,360056,10981,0,0,23376,489,64640,1328356,0,0,1265,669,323311,305,0,34958,15922,73751,884,679746,71194,0,118985,552,0,16015,189749,79606,43345,0,6741,0,2709,0,85425,0,97413,0,42318,0,4694,12661,0,131471,0,670046,954,1375,412088,0,1455108,5722,0,50989,9746948,3824,7720,2535
67121,"n/a pig-iron containing by weight 0.5%/less of phosphorus",0,0,0,0,0,0,0,0,0,0,107453,19187088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4975649,0,0,0,0,0,0,0,0,0,0,0,0,0,45576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16307466,0,0,0,0,9862415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4958499,0,0,0,0,0,0,0,0,0,0,0,0,88641,0,0,0,0,0,0,136142,8621447,0,0,0,0,0,0,0,74610,0,0,0,441031,0,0,0,0,0,0,5871100,0,45386,0,0,0,0,0,0,0,0,0,68837523,0,0,0,0,7797375,0,4060982,0,0,0,0,22232591,0,0,28816,208210988,0,0,0
67122,"n/a pig-iron containing by weight > 0.5% of phosphorus",0,0,0,0,0,0,0,0,0,0,48820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139643,0,0,0
67123,"Alloy pig-iron & spiegeleisen",0,0,0,613,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53339,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860,0,0,0,0,0,0,0,0,0,0,0,16595,16523,0,0,0,4774,0,0,0,0,0,0,0,0,686742,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,3,0,0,0,0,0,16881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2286,0,0,0,12,16805,0,0,0,871128,0,0,0
67131,"Granules of pig-iron, spiegeleisen, iron/steel",0,0,0,0,0,0,0,0,0,0,2727,86494,0,0,0,0,0,0,0,0,99608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3555,357957,0,164269,4403,0,6781,11541,0,0,0,0,0,1577,0,0,0,0,0,57171,0,0,0,0,261,0,0,0,0,0,0,0,28106,0,0,0,0,0,0,3531287,0,0,0,0,0,29,0,0,0,0,0,0,9507,3118,0,0,0,0,0,0,0,10647,0,0,0,0,0,0,0,0,0,172196,0,27,0,0,0,0,20538,2934,0,10,0,157624,0,0,130437,4862887,0,0,0
67132,"Powders of pig-iron, spiegeleisen, iron/steel",0,0,0,0,0,0,14856,207,0,0,0,67367,0,0,4216,0,0,0,0,0,13034,0,0,0,1885,0,251,0,0,0,992673,11334,0,0,0,0,0,0,0,0,0,0,0,0,287036,0,142,0,0,0,834,0,0,397010,0,0,0,0,0,0,13311,0,0,0,199626,2430088,0,0,9832,0,0,4584375,0,0,1590,0,0,0,0,1925,0,0,3479,0,0,0,0,488750,0,0,0,319,532411,0,0,0,0,0,146,0,11654,468,0,0,0,574,0,38556,15852,0,0,0,32566,93710,1706,0,2257,0,0,0,106096,0,26,1672,0,0,373443,330120,447,4834,0,1825,0,0,243,62,0,9683,0,91428,0,0,0,71,60375,0,304170,0,5257,139241,0,1662283,0,0,75955,13700030,0,4903,0
