"Product","Commodity","Afghanistan","Albania","Algeria","Angola","Argentina","Armenia","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Benin","Bermuda","Bolivia","Bosnia Herzegovina","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Cambodia","Cameroon","Canada","Cayman Isds","Chad","Chile","China","Colombia","Congo","Congo Democratic","Costa Rica","Côte d'Ivoire","Cote de voire","Croatia","Cuba","Cyprus","Czechia","Denmark","Dominican Rep.","Ecuador","Egypt","El Salvador","Equatorial Guinea","Estonia","Ethiopia","Finland","France","Gabon","Georgia","Germany","Ghana","Greece","Guatemala","Guinea","Haiti","Honduras","Hong Kong","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kuwait","Kyrgyzstan","Laos","Latvia","Lebanon","Libya","Lithuania","Luxembourg","Macao","Macedonia","Madagascar","Malawi","Malaysia","Mali","Malta","Mauritania","Mauritius","Mexico","Moldova","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Nepal","Netherlands","New Zealand","Nicaragua","Niger","Nigeria","Norway","Oman","Pakistan","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Qatar","Romania","Russia","Rwanda","Saudi Arabia","Senegal","Serbia","Singapore","Slovakia","Slovenia","South Africa","South Korea","Spain","Sri Lanka","State of Palestine","Sudan","Suriname","Swaziland","Sweden","Switzerland","Tajikistan","Tanzania","TFYR of Macedonia","Thailand","Timor-Leste","Togo","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","UAE","Uganda","Ukraine","United Kingdom","Uruguay","USA","Uzbekistan","Venezuela","Vietnam","World","Yemen","Zambia","Zimbabwe"
27861,"Granulated slag (slag sand) from the manufacture of iron/steel",0,0,0,0,0,0,0,0,0,0,44779,6326564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1466389,0,0,27712,0,0,0,0,565450,8504338,0,0,0
27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",0,0,0,0,0,0,0,0,0,0,0,9951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,14263768,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1035230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123692,0,0,0,0,1404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15435537,0,0,0
28231,"Waste & scrap of tinned iron/steel",0,0,0,0,0,0,27548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,19284,0,0,0,0,0,0,0,0,0,0,0,0,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47271,0,0,0
28233,"Remelting scrap ingots of iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35360,0,0,0,48967,0,0,0
52254,"Iron oxides & hydroxides; earth colours containing 70%/more by weight of combined iron evaluated as Fe203",0,0,15892,0,2132,0,0,0,0,0,1054,30166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2211,543550,2913,0,0,0,0,1148,0,14,0,0,43501,0,4879,174737,0,0,0,5022,0,23993,0,0,58195,6429,0,0,0,0,0,946,0,0,0,161548,0,0,0,21415,46179,0,83153,0,0,70212,51742,0,0,0,9726,0,0,0,0,0,0,0,285517,0,0,0,0,0,0,0,0,0,12481,49591,0,24891,0,0,0,0,6940,0,22496,143989,0,0,0,0,112611,4635,0,11156,0,0,0,451558,0,0,99556,0,0,6829,243601,107333,4022,0,0,0,0,0,0,0,44283,0,337901,0,0,0,0,96811,0,106675,708,116,40951,0,41183,0,0,88501,3873534,5006,2378,0
67121,"n/a pig-iron containing by weight 0.5%/less of phosphorus",0,0,0,0,0,0,0,0,0,0,70198,1526254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36764345,0,0,0,0,0,0,0,0,0,0,0,0,0,684261,0,0,0,0,0,27,0,0,513,0,0,0,0,0,0,0,0,0,0,27491467,0,0,0,0,10360,0,27364640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18138439,0,0,0,0,0,0,0,0,0,0,0,0,4044,0,0,0,0,0,0,21100,115864,0,0,0,0,0,0,0,0,0,0,0,118287,0,0,382366,0,0,0,9009890,134398,50221,0,0,0,0,0,0,0,0,0,34410468,0,0,0,0,0,0,231169,0,0,0,0,20467,0,0,10232644,169965194,0,0,0
67122,"n/a pig-iron containing by weight > 0.5% of phosphorus",0,0,0,0,0,0,0,0,0,0,0,81719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15321,0,0,0,176549,0,0,0
67123,"Alloy pig-iron & spiegeleisen",0,0,0,0,0,0,12701,0,0,0,48,626238,0,0,460319,0,0,0,0,0,1773,0,0,0,0,0,89431,0,0,0,15992963,6345,209,0,0,0,0,2608,0,0,5926,0,0,0,396,0,0,0,847,0,4629,0,14498,105823,0,52,0,0,0,0,430,0,0,0,0,30759,13518,0,0,396027,0,23561,0,0,112204,1657,0,0,0,6090,2118,0,0,0,0,0,1296,2505,0,0,0,82206,2411,0,0,0,11114,0,0,0,158368,38,32438,0,0,363927,205,0,0,0,0,0,173975,0,0,0,0,0,0,0,60271,0,0,274,0,0,21227,72,58643,5541,0,0,0,0,844,2128,0,5315,0,41464,0,2763,1001,9924,3484,0,123992,1560,0,72059,0,155638,0,0,0,19715009,39,8921,0
67131,"Granules of pig-iron, spiegeleisen, iron/steel",3130,0,0,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26680,660,0,0,0,59691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2538,0,0,0,0,0,0,4359,0,14013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173392,21622,0,0,0,1073,0,12923,0,0,0,0,0,0,0,0,0,0,0,0,16823,0,0,1358,0,0,0,0,778,1590,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,12547,0,0,1335,0,10061,0,148,0,369023,0,0,0
67132,"Powders of pig-iron, spiegeleisen, iron/steel",0,0,0,0,0,0,9643,0,0,0,0,2105,0,0,55,0,0,0,0,0,29619,0,0,0,0,0,3,0,0,0,152358,85316,0,0,0,0,0,0,0,0,0,126198,0,0,351376,0,0,0,290,0,0,0,15977,596922,1691,0,0,0,0,0,0,0,0,0,21441,909364,0,0,13510,27856,0,68726,0,2603,1933,7616,0,0,0,0,0,0,2954,0,0,0,0,362857,0,0,0,0,261881,0,0,0,0,0,0,0,880054,0,0,0,0,124768,0,0,0,0,0,0,0,101073,0,0,0,0,0,0,137495,0,0,17484,0,0,122086,16487,8961,8,0,0,0,0,1734822,0,0,36536,0,228541,0,0,0,0,6209,0,28331,21617,0,23746,0,482338,0,0,0,7298067,0,0,0
