"Product","Commodity","Afghanistan","Albania","Algeria","Angola","Argentina","Armenia","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Benin","Bermuda","Bolivia","Bosnia Herzegovina","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Cambodia","Cameroon","Canada","Cayman Isds","Chad","Chile","China","Colombia","Congo","Congo Democratic","Costa Rica","Côte d'Ivoire","Cote de voire","Croatia","Cuba","Cyprus","Czechia","Denmark","Dominican Rep.","Ecuador","Egypt","El Salvador","Equatorial Guinea","Estonia","Ethiopia","Finland","France","Gabon","Georgia","Germany","Ghana","Greece","Guatemala","Guinea","Haiti","Honduras","Hong Kong","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kuwait","Kyrgyzstan","Laos","Latvia","Lebanon","Libya","Lithuania","Luxembourg","Macao","Macedonia","Madagascar","Malawi","Malaysia","Mali","Malta","Mauritania","Mauritius","Mexico","Moldova","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Nepal","Netherlands","New Zealand","Nicaragua","Niger","Nigeria","Norway","Oman","Pakistan","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Qatar","Romania","Russia","Rwanda","Saudi Arabia","Senegal","Serbia","Singapore","Slovakia","Slovenia","South Africa","South Korea","Spain","Sri Lanka","State of Palestine","Sudan","Suriname","Swaziland","Sweden","Switzerland","Tajikistan","Tanzania","TFYR of Macedonia","Thailand","Timor-Leste","Togo","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","UAE","Uganda","Ukraine","United Kingdom","Uruguay","USA","Uzbekistan","Venezuela","Vietnam","World","Yemen","Zambia","Zimbabwe"
27861,"Granulated slag (slag sand) from the manufacture of iron/steel",0,0,0,0,0,0,4,0,0,0,0,1434875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338549,0,0,0,0,0,0,0,0,0,0,32661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208959,0,0,0,0,0,0,587761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81543,0,0,128369,187,0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0,0,2107846,0,0,0,0,0,0,0,0,5008818,0,0,0
27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138185467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4538002,0,0,0,1638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197435,0,0,0,0,0,0,0,0,0,0,0,0,8787651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1077,0,0,0,152353070,0,0,0
28231,"Waste & scrap of tinned iron/steel",0,0,0,0,0,0,0,0,0,0,0,41890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41890,0,0,0
28233,"Remelting scrap ingots of iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,172414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320377,0,0,0,0,0,550891,0,0,0
52254,"Iron oxides & hydroxides; earth colours containing 70%/more by weight of combined iron evaluated as Fe203",0,0,0,0,1862,0,5647,0,0,0,6265,103126,0,0,0,0,0,0,0,0,3190,0,0,0,0,0,0,0,0,4460,1132212,9643,0,0,10155,0,1858,14355,0,0,155,0,0,1691,18226,0,0,0,18338,0,9270,0,0,116374,26746,2311,0,80861,0,0,17364,0,0,0,108794,14134,73039,0,4724,0,0,7851,896,0,151786,121454,0,0,0,5964,0,0,0,0,0,411,0,33945,0,0,0,0,18273,0,0,0,0,4885,0,0,122475,75902,2473,0,0,1120,0,100648,244468,0,0,1201,0,497513,0,0,6366,55156,35103,0,204875,5006,0,46095,0,0,24937,112534,13760,5221,0,2225,0,0,0,214206,0,97003,0,117850,0,0,13285,0,5043,0,277203,34033,10955,17379,0,26047,0,97865,34390,4752433,64253,6087,0
67121,"n/a pig-iron containing by weight 0.5%/less of phosphorus",0,0,0,0,0,0,0,0,0,0,0,1868576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3631302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22894,0,0,0,0,0,0,0,0,0,15895831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60704620,0,0,0,0,0,0,0,0,620,0,0,0,93991,0,0,0,0,0,0,0,105725,0,0,0,0,0,0,0,0,0,0,0,116208,0,0,0,0,0,0,36343870,167370,116116,0,0,0,0,0,0,0,0,0,38058962,0,0,0,0,0,0,399855,3925,0,0,0,0,0,0,4759948,172805967,17625,0,0
67122,"Non-alloy pig-iron containing by weight more than 0.5% of phosphorus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67123,"Alloy pig-iron & spiegeleisen",0,0,0,0,0,0,6471,0,0,0,147,68460,0,0,0,321,0,0,0,0,172,0,0,0,0,0,6149,0,0,0,0,159468,0,0,0,0,944,0,0,0,0,0,0,0,851,0,0,0,0,0,0,0,0,4576,0,0,0,0,0,0,2512,0,0,0,0,14502,0,0,0,455,0,19469,0,0,3245,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,7248,174,0,0,0,100,37491,0,0,3365535,0,13,0,0,16928,0,8,0,0,0,0,0,0,2099,0,1783,0,0,0,4396,0,0,0,0,0,5161,0,44,0,0,0,0,0,27616,157,0,540,0,482475,0,0,2234,0,0,0,596698,0,0,34240,0,69885,0,0,561,5358024,0,0,0
67131,"Granules of pig-iron, spiegeleisen, iron/steel",0,0,0,0,0,0,385,0,0,0,0,7094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12799,0,0,0,0,0,0,0,0,0,0,0,0,0,15896,0,0,0,0,0,0,0,0,2937,0,0,0,0,0,0,246,0,0,0,0,0,0,0,2,0,0,0,0,0,3528,8936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4153430,0,0,0,0,9664,0,14084,0,0,0,0,0,0,0,0,0,1881,0,0,139966,0,0,0,0,0,70,992,0,1914,0,43734,0,0,0,0,0,12569,0,0,0,0,0,0,18876,0,7269,1207,0,139,0,47832,0,0,0,4705429,0,0,0
67132,"Powders of pig-iron, spiegeleisen, iron/steel",0,0,0,0,0,0,6946,0,0,0,0,36324,0,0,82200,0,0,0,0,0,17513,92,0,0,0,0,10,0,0,0,54828,8695,0,0,0,0,0,0,0,0,11422,0,0,0,153767,0,0,0,41,0,56543,0,0,529170,2392,0,0,0,0,0,0,1326,0,0,213876,46380,0,0,0,6438,0,3149433,0,0,3711,276930,0,0,0,0,0,0,7872,0,0,0,0,400421,0,0,0,0,440440,0,0,0,0,0,0,0,6754,1314,0,0,0,36055,0,0,0,0,0,0,22026,19562,48364,0,10,0,0,0,309588,46,0,0,0,0,284221,42756,181,742,0,0,0,0,0,0,0,2018,0,2143,0,0,0,540,53213,0,91158,0,0,54,0,357019,0,0,0,7038887,197,118,0
