"Product","Commodity","Afghanistan","Albania","Algeria","Angola","Argentina","Armenia","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Benin","Bermuda","Bolivia","Bosnia Herzegovina","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Cambodia","Cameroon","Canada","Cayman Isds","Chad","Chile","China","Colombia","Congo","Congo Democratic","Costa Rica","Côte d'Ivoire","Croatia","Cuba","Cyprus","Czechia","Denmark","Dominican Rep.","Ecuador","Egypt","El Salvador","Equatorial Guinea","Estonia","Ethiopia","Finland","France","Gabon","Georgia","Germany","Ghana","Greece","Guatemala","Guinea","Haiti","Honduras","Hong Kong","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kuwait","Kyrgyzstan","Laos","Latvia","Lebanon","Libya","Lithuania","Luxembourg","Macao","Madagascar","Malawi","Malaysia","Mali","Malta","Mauritania","Mauritius","Mexico","Moldova","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Nepal","Netherlands","New Zealand","Nicaragua","Niger","Nigeria","Norway","Oman","Pakistan","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Qatar","Romania","Russia","Rwanda","Saudi Arabia","Senegal","Serbia","Singapore","Slovakia","Slovenia","South Africa","South Korea","Spain","Sri Lanka","State of Palestine","Sudan","Suriname","Swaziland","Sweden","Switzerland","Tajikistan","Tanzania","TFYR of Macedonia","Thailand","Timor-Leste","Togo","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","UAE","Uganda","Ukraine","United Kingdom","Uruguay","USA","Uzbekistan","Venezuela","Vietnam","World","Yemen","Zambia","Zimbabwe"
27861,"Granulated slag (slag sand) from the manufacture of iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,227,0,0,0
27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2336375,0,0,0,0,0,0,0,0,0,17666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,31257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2434573,0,0,0
28231,"Waste & scrap of tinned iron/steel",0,0,0,0,0,0,0,0,0,0,215497,494882,0,0,0,0,0,0,0,0,21974,0,0,0,0,0,18969,0,0,0,17196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110112,0,0,0,0,0,0,0,0,0,0,0,0,0,241451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52332,0,561353,0,0,125479,0,0,0,0,0,0,0,0,0,0,0,0,178587,0,0,0,0,0,0,630985,0,0,223286,0,18812,0,0,0,3272724,0,0,0
28233,"Remelting scrap ingots of iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529250,0,0,0,0,95791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169043,0,0,0,0,0,0,0,0,0,0,0,270329,0,0,0,1064413,0,0,0
52254,"Iron oxides & hydroxides; earth colours containing 70%/more by weight of combined iron evaluated as Fe203",0,0,0,0,0,0,0,777369,0,0,0,0,0,0,5522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16851529,189167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55528,0,0,6181343,0,0,0,0,0,0,4210,0,0,0,0,0,0,0,0,816887,0,1156208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25133,0,0,0,0,0,0,0,0,0,0,0,0,0,11460,0,0,0,0,8718,0,0,0,0,0,0,0,67052,0,0,8801,0,0,0,0,0,0,0,0,32311,1836861,29197,0,0,0,0,0,4618,7129,0,0,0,297,0,0,0,0,0,0,17488,0,64629,31859,0,699585,0,0,27647,29221062,0,0,0
67121,"n/a pig-iron containing by weight 0.5%/less of phosphorus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,33410,0,0,0,0,0,559099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39321,0,0,0,0,0,0,0,0,0,0,0,1981158,0,0,0,0,31798,0,0,2501289,0,0,0,0,0,0,0,0,0,0,0,0,7142,0,0,0,0,0,0,0,0,436107,0,0,0,0,0,0,7591261,0,0,0
67122,"n/a pig-iron containing by weight > 0.5% of phosphorus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745906,0,0,0
67123,"Alloy pig-iron & spiegeleisen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,817099,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7039083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437630,0,0,0,0,201300,0,0,272373,0,3033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357421,0,1394,0,0,0,9129432,0,0,0
67131,"Granules of pig-iron, spiegeleisen, iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3707092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5252827,0,0,1588159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7271081,0,494077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6064,0,0,0,36405,0,0,0,0,1926,0,78582,2392675,315579,8819591,0,0,0,0,0,97596,0,0,0,0,2051320,0,0,0,0,267133,0,7208,0,880405,498336,0,76805,0,0,0,36173136,0,0,0
67132,"Powders of pig-iron, spiegeleisen, iron/steel",0,0,0,0,0,0,77,0,0,0,0,0,0,870,762415,0,0,0,0,0,0,0,0,0,0,0,2340839,0,0,0,4404236,0,0,0,0,0,0,0,0,0,526,0,0,188327,0,0,0,0,77250,317168,0,0,4904684,0,0,0,0,0,0,50343,0,0,0,0,0,0,101,0,759752,0,3786829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1266330,45710,0,0,0,0,414091,0,0,27288,0,1351100,0,0,0,0,0,9466201,0,0,0,0,158937,0,0,0,0,0,0,337,0,0,4982504,0,6006744,0,0,0,41448847,0,0,0
