"Product","Commodity","Afghanistan","Albania","Algeria","Angola","Argentina","Armenia","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Benin","Bermuda","Bolivia","Bosnia Herzegovina","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Cambodia","Cameroon","Canada","Cayman Isds","Chad","Chile","China","Colombia","Congo","Congo Democratic","Costa Rica","Côte d'Ivoire","Croatia","Cuba","Cyprus","Czechia","Denmark","Dominican Rep.","Ecuador","Egypt","El Salvador","Equatorial Guinea","Estonia","Ethiopia","Finland","France","Gabon","Georgia","Germany","Ghana","Greece","Guatemala","Guinea","Haiti","Honduras","Hong Kong","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kuwait","Kyrgyzstan","Laos","Latvia","Lebanon","Libya","Lithuania","Luxembourg","Macao","Madagascar","Malawi","Malaysia","Mali","Malta","Mauritania","Mauritius","Mexico","Moldova","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Nepal","Netherlands","New Zealand","Nicaragua","Niger","Nigeria","Norway","Oman","Pakistan","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Qatar","Romania","Russia","Rwanda","Saudi Arabia","Senegal","Serbia","Singapore","Slovakia","Slovenia","South Africa","South Korea","Spain","Sri Lanka","State of Palestine","Sudan","Suriname","Swaziland","Sweden","Switzerland","Tajikistan","Tanzania","TFYR of Macedonia","Thailand","Timor-Leste","Togo","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","UAE","Uganda","Ukraine","United Kingdom","Uruguay","USA","Uzbekistan","Venezuela","Vietnam","World","Yemen","Zambia","Zimbabwe"
27861,"Granulated slag (slag sand) from the manufacture of iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183804,0,0,0,0,0,183804,0,0,0
27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6106767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6107174,0,0,0
28231,"Waste & scrap of tinned iron/steel",0,0,0,279226,0,0,344224,0,0,0,837158,0,0,0,866836,0,0,0,0,0,0,0,0,0,0,0,24166,0,0,0,0,0,0,0,0,0,0,0,0,0,356051,0,0,174107,0,0,0,0,0,0,0,73281,94418,49395,0,0,16580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680143,0,0,0,0,0,0,0,0,34860,0,63643,0,0,0,0,0,13929,0,0,260465,0,0,0,0,183801,214412,0,0,0,0,6891,0,0,36914,0,0,14232,0,0,0,0,145217,0,0,114984,0,442969,0,0,519267,0,0,0,0,0,0,0,405131,0,0,74855,0,72702,0,0,0,0,0,0,2853541,0,0,510718,0,14685347,0,0,0,24487195,0,0,0
28233,"Remelting scrap ingots of iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108188,0,0,0,0,0,0,0,52349,202461,0,0,0
52254,"Iron oxides & hydroxides; earth colours containing 70%/more by weight of combined iron evaluated as Fe203",0,0,0,0,0,0,59201,415063,0,0,0,0,0,0,82046,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,11565542,53474,0,0,0,0,0,0,0,177,290,0,0,0,0,0,0,0,250,53102,0,0,4346601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238047,0,1027240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8551,0,0,0,0,0,0,0,0,11373,0,0,0,0,10876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2639,0,0,0,0,0,34292,0,0,1490,764177,51487,0,0,0,0,0,13203,0,0,0,0,29113,0,0,0,0,0,0,19558,0,69057,170610,0,224662,0,0,0,19712416,0,0,0
67121,"n/a pig-iron containing by weight 0.5%/less of phosphorus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29164,0,0,0,0,0,69231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627076,0,0,3752725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165129,0,0,84181,0,136,0,0,0,4974283,0,0,0
67122,"n/a pig-iron containing by weight > 0.5% of phosphorus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13378,0,0,0,220679,0,0,0
67123,"Alloy pig-iron & spiegeleisen",0,0,0,0,0,0,33351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45992,0,0,0,0,0,0,0,308652,0,0,0,0,0,0,0,211175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13606,0,250539,0,0,0,1523503,0,0,0
67131,"Granules of pig-iron, spiegeleisen, iron/steel",0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27187,0,0,0,4374633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3021604,0,0,586173,0,0,0,0,0,0,551,0,0,0,0,0,0,0,0,4709707,0,121526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108448,0,0,0,0,0,0,0,0,0,0,0,0,0,118281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25079,0,0,27265,0,47568,2356211,18909,8252535,54001,0,0,0,0,122695,9178,0,0,0,1565459,0,0,0,0,581379,0,23283,0,460899,83150,0,269667,0,0,45125,28247745,0,0,0
67132,"Powders of pig-iron, spiegeleisen, iron/steel",0,0,0,0,0,0,43413,0,0,0,3291,0,0,0,981198,0,0,0,0,0,2628775,0,0,0,0,0,735542,0,0,0,2459392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48669,626442,0,0,4589834,0,27250,0,0,0,0,257234,0,0,0,0,0,0,0,2791,101302,0,1887933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8742,0,0,0,0,0,0,0,0,0,0,0,0,0,56497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852532,128417,0,50734,0,0,34212,0,0,14644,40564,197451,0,0,0,0,0,9152821,0,0,0,0,22711,0,0,0,0,8564,0,0,0,11812,2459926,0,4035778,0,0,0,31471510,0,0,0
