"Product","Commodity","Afghanistan","Albania","Algeria","Angola","Argentina","Armenia","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Benin","Bermuda","Bolivia","Bosnia Herzegovina","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Cambodia","Cameroon","Canada","Cayman Isds","Chad","Chile","China","Colombia","Congo","Congo Democratic","Costa Rica","Côte d'Ivoire","Croatia","Cuba","Cyprus","Czechia","Denmark","Dominican Rep.","Ecuador","Egypt","El Salvador","Equatorial Guinea","Estonia","Ethiopia","Finland","France","Gabon","Georgia","Germany","Ghana","Greece","Guatemala","Guinea","Haiti","Honduras","Hong Kong","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kuwait","Kyrgyzstan","Laos","Latvia","Lebanon","Libya","Lithuania","Luxembourg","Macao","Madagascar","Malawi","Malaysia","Mali","Malta","Mauritania","Mauritius","Mexico","Moldova","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Nepal","Netherlands","New Zealand","Nicaragua","Niger","Nigeria","Norway","Oman","Pakistan","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Qatar","Romania","Russia","Rwanda","Saudi Arabia","Senegal","Serbia","Singapore","Slovakia","Slovenia","South Africa","South Korea","Spain","Sri Lanka","State of Palestine","Sudan","Suriname","Swaziland","Sweden","Switzerland","Tajikistan","Tanzania","TFYR of Macedonia","Thailand","Timor-Leste","Togo","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","UAE","Uganda","Ukraine","United Kingdom","Uruguay","USA","Uzbekistan","Venezuela","Vietnam","World","Yemen","Zambia","Zimbabwe"
69241,"Tanks, casks, drums, cans, boxes & similar containers, for any material (other than compressed/liquefied gas), of iron/steel, of a capacity not > 300 litres, whether/not lined/heat-insulated, but not fitted with mechanical/thermal",0,0,0,0,0,0,301794,18675,0,0,0,0,0,0,557459,0,0,0,0,0,30697,0,0,0,0,0,188218,0,0,1098089,20632529,0,0,0,0,0,0,0,0,114897,150733,0,0,27288,0,0,697,0,8589,2720367,0,0,4868801,0,0,0,0,0,0,1175687,388,0,0,6035023,0,0,11741,4306,1625278,0,4377959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2507752,0,0,0,0,0,0,0,0,0,0,0,0,0,202233,29999,0,0,0,1962,0,8866,0,0,0,0,2658792,883356,0,0,0,879211,0,186943,0,2082,2703630,0,0,47958,4778237,854891,348994,0,0,0,0,8651,437104,0,0,0,7592301,0,0,0,0,190509,0,2525253,0,0,853949,0,11909833,0,0,1868634,89548940,0,0,0
69243,"Containers of iron/steel for compressed/liquefied gas",0,0,0,6980,932117,0,525733,475746,0,0,0,11399,0,2012,345670,0,0,0,0,0,2884,0,0,0,0,0,25836,0,0,0,5968750,0,502,0,0,0,0,0,0,7228,3924,0,0,0,0,0,0,0,1947,1268526,0,0,2446681,0,0,0,0,0,0,39043,2558,0,0,125130,0,0,0,0,149630,0,60452,0,0,35660,37989,0,0,0,0,0,0,0,0,0,0,319152,0,0,0,0,1471,0,0,0,0,0,0,0,14954,688210,0,0,0,30011,0,0,0,0,0,0,0,197437,0,0,3056408,0,2113,0,0,0,0,186364,0,0,0,517185,14950,267590,0,0,0,0,4372,4830,0,0,0,176386,0,0,0,0,512,0,188448,0,0,163036,0,2560378,0,0,0,21928409,0,0,0
69311,"Stranded wire, ropes, cables, plaited bands, slings & the like, of iron/steel, not electrically insulated",0,0,0,0,0,0,50842,642190,0,0,0,0,0,0,575696,0,0,0,0,0,1456,0,262,0,18039,843,13047,0,0,841,96781636,0,0,0,0,0,0,0,0,373187,168541,0,0,0,0,0,6469,0,262897,794581,0,0,3348255,0,0,0,0,0,0,171327,18043,0,0,9599597,0,0,569,226,2701131,0,1477406,0,0,0,0,0,0,701,0,0,0,2550,0,0,0,20173393,0,3162,0,0,14318,0,0,0,0,0,0,0,0,46608,0,0,0,0,2141,0,0,0,0,0,0,1870,2219,143613,0,614285,43309,0,0,0,0,1714663,788500,202,43329,5838967,1127878,0,0,0,0,905,337209,288471,0,0,0,10799431,0,0,0,0,7724,0,274629,0,0,1486212,0,2174765,0,0,2361266,166252652,0,0,0
69731,"Domestic cooking appliances (e.g., kitchen stoves, ranges, cookers, barbecues, braziers, gas rings) & plate warmers, non-electric, of iron/steel",0,0,0,0,0,0,0,3963,0,0,398,8881,0,0,2318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9533852,0,0,0,0,0,0,0,0,0,0,0,0,712,0,0,0,0,0,1585,0,0,1444822,0,0,0,0,0,0,30192,0,0,0,33047,0,0,0,0,163868,0,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18559,0,0,0,0,0,0,0,0,0,0,0,0,0,2383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,0,0,0,473,47829,0,231356,113482,0,0,0,0,0,173,0,0,0,0,4918,0,0,0,0,4180,0,9837,0,0,4399,0,37462,0,0,0,11702615,0,0,0
69732,"Domestic stoves (other than cooking appliances), grates & similar non-electric space heaters (including those with subsidiary boilers for central heating), of iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7734,0,0,0,1724844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2434,0,0,3722,0,0,0,0,0,0,26924,0,0,0,0,0,0,0,0,16041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,27703,0,0,0,0,0,0,0,0,0,0,0,0,4089,0,59,0,0,0,0,0,0,46,0,27630,0,0,0,0,0,0,0,0,0,1261,0,0,0,868,0,0,0,0,22418,0,15183,0,0,0,0,1255,0,0,0,1882457,0,0,0
69733,"Parts, of iron/steel, of the appliances of headings 697.31 & 697.32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,616,0,0,0,0,0,0,0,0,0,0,0,2343,0,0,0,6767672,0,0,0,0,0,0,0,0,43142,0,0,0,0,0,0,0,0,0,406,0,0,457321,0,0,0,0,0,0,47143,0,0,0,0,1090,0,0,0,1263123,0,3388,0,0,0,0,0,0,0,24666,0,0,0,0,0,0,822,0,0,0,0,293,0,0,0,0,0,0,0,0,3026,0,0,0,0,0,0,0,0,0,0,0,0,0,669,0,0,0,0,0,0,0,0,0,99,0,0,0,9,0,0,0,0,2094,0,0,0,0,257,0,0,0,0,1553,0,1960,0,0,6839,0,4527,0,0,0,8645147,0,0,0
69741,"Household articles & parts thereof, n.e.s., of iron/steel",0,0,0,0,0,0,19784,27970,0,0,0,8845,0,0,184614,0,0,0,62,0,2638,0,0,0,0,764,11533,0,0,0,35866373,0,0,0,0,0,0,0,2022,12245,8425,0,0,0,0,0,0,0,629,366330,0,6260,695500,0,0,0,0,0,0,880938,0,0,0,21815,0,0,0,1475,1166118,0,117472,1598,1021,6,0,0,0,10859,0,0,621,0,0,0,0,138819,0,0,0,0,7668,0,0,0,0,0,763,0,153901,51044,275,0,0,0,0,574,846,0,0,0,0,0,2631,15593,0,165,0,0,264,0,0,37081,2211,0,867,210743,93130,75933,0,0,0,0,128392,79081,0,0,0,4339860,0,0,0,0,347548,0,238189,0,0,173563,0,707658,0,0,207909,46971860,0,0,0
69744,"Iron/steel wool; pot scourers & scouring/polishing pads, gloves & the like, of iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9075452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3235,0,0,1541,0,0,0,0,0,0,2168,0,0,0,0,0,0,0,0,15891,0,9705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,0,0,0,5,0,0,946,0,0,0,0,143,0,0,0,0,0,0,357,0,0,0,15764,0,0,0,0,0,0,3492,0,0,7314,0,6859,0,0,0,9194897,0,0,0
69751,"Sanitary ware & parts thereof, n.e.s., of iron/steel",0,0,0,0,0,0,5458,3852,0,0,0,0,0,0,4107,0,0,0,0,0,0,0,0,0,0,0,72263,0,0,0,16067079,0,0,0,0,0,0,0,0,11988,63993,0,0,13050,0,0,0,0,22484,22865,0,0,1654699,0,0,0,0,0,0,42741,0,0,0,28726,0,0,0,0,839246,0,25689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48518,0,0,0,0,0,0,0,0,0,0,0,0,0,109730,0,0,0,0,20134,4024,0,0,0,0,0,0,161065,111417,0,18727,0,0,46988,0,0,8271,0,12225,0,5433399,337965,175,0,0,0,0,7208,7646,0,0,0,193677,0,0,0,8390,191205,0,90142,0,0,170625,0,429896,0,0,24726,26488438,0,0,0
69931,"Sewing needles, knitting-needles, bodkins, crochet hooks, embroidery stilettos & similar articles, for use in the hand, of iron/steel",0,0,0,0,3207,0,3118,45686,0,0,0,0,0,2586,32645,0,0,0,0,0,184988,0,975,0,6834,0,171116,2380,0,0,4446755,0,0,0,0,0,0,0,0,3961,41422,0,0,0,0,0,0,0,24298,124574,0,0,1886255,0,590,0,0,0,0,68674,466,0,0,30293,0,0,1278,12487,189867,0,5186025,0,0,0,0,0,0,473,0,0,0,0,0,0,0,79556,0,0,0,0,46685,0,0,0,0,0,0,0,0,20022,6,0,0,0,134,0,0,0,0,0,0,26,40308,3914,0,2092,349,0,0,0,0,280131,726,0,46155,1239157,39364,508216,0,0,0,0,32863,76830,0,0,0,87958,0,0,0,0,13734,0,30788,0,0,277048,0,1622409,0,0,219799,17284133,0,0,0
69932,"Safety pins & other pins, of iron/steel, n.e.s.",0,0,0,0,0,0,1981,3019,0,0,0,0,0,0,7154,0,0,0,0,0,0,0,0,0,1053,0,7828,0,0,0,675936,0,0,0,0,0,0,0,0,2081,4394,0,0,1,0,0,0,0,3009,36211,0,0,359383,0,0,0,0,0,0,5687,188,0,0,5586,0,0,0,0,121946,0,651193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3652,0,0,0,0,11057,0,0,0,0,0,0,0,0,1094,0,0,0,0,53878,0,20,0,0,0,0,0,229,0,0,0,0,0,0,0,0,195128,0,0,0,453627,91132,0,0,0,0,0,13567,15149,0,0,0,880858,0,0,0,0,901,0,862,0,0,49305,0,196950,0,0,21434,3909996,0,0,0
69961,"Anchors, grapnels & parts thereof, of iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,649,0,0,0,0,0,146091,0,0,0,0,0,0,0,0,0,712232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2414,0,0,18936,0,0,95732,0,0,0,0,0,0,27,0,0,0,39235,0,0,0,0,65296,0,39832,0,0,0,0,0,0,0,0,0,0,90023,0,0,0,13919,0,0,0,0,0,0,0,0,0,0,0,0,0,249560,0,0,0,0,10272,0,0,0,0,0,0,0,0,0,0,0,15701,0,0,0,0,10971,6598,0,13868,134528,1280,22696,0,0,0,0,0,177,0,0,0,129,0,0,0,0,11785,0,65593,0,0,45741,0,397544,0,0,0,2272376,0,0,0
69962,"Cast articles of non-malleable cast iron, n.e.s.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,210827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5768262,0,0,0,0,0,0,0,0,1807,0,0,0,0,0,0,0,0,4048,15604513,0,0,12946053,0,0,0,0,0,0,0,0,0,0,20772,0,0,0,0,801025,0,2149622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80707,0,0,0,0,0,0,0,0,0,0,0,0,0,25092,0,0,0,0,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275180,887,0,0,0,34662,0,0,0,0,114,5063,2475,0,0,0,0,0,0,0,0,483,0,80,0,0,59881,0,506653,0,0,0,38586137,0,0,0
69963,"Cast articles of other iron/steel, n.e.s.",0,0,0,0,0,0,13323,141719,0,0,0,0,0,19070,634520,0,0,0,0,0,37840,0,74,0,0,0,186044,0,0,12815,21954466,0,0,0,0,0,1578,0,0,124629,467972,0,0,96,0,0,306,0,118174,416039,0,0,9201601,0,60,0,0,0,0,52411,6285,0,0,1968230,0,0,12637,39271,13402382,0,5939105,0,0,1042,123,0,1019,0,0,0,988,29823,0,0,0,434393,0,0,0,909,23374,0,0,0,0,0,0,0,0,547340,2645,0,0,0,1239,612,0,0,0,0,0,1494,331973,866,23258,2242,8334,0,31,0,0,111300,33507,12343,907,4998126,436821,7438,0,0,0,2230,69444,315068,0,0,0,3079539,0,0,0,20857,1171554,0,85946,0,0,2421793,0,6068858,0,0,9398,79286313,0,0,0
69965,"Articles of iron/steel, forged/stamped, but not further worked, n.e.s.",0,0,0,0,0,0,591254,239017,0,0,671,0,0,0,112402,0,0,0,0,0,13704,0,0,0,0,0,33823,0,0,1218,13415443,0,0,0,0,0,0,0,0,62055,70568,0,0,0,0,0,0,0,13671,1007184,0,0,1999333,0,0,0,0,0,0,161397,13117,0,0,345050,0,0,139,627,3162490,0,3824879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429876,0,0,0,0,18168,0,0,0,0,0,0,0,0,528060,0,0,0,100,0,0,4923,0,0,0,0,2975,45197,0,0,119408,1643,0,0,0,0,179782,459,2353,76812,9469384,3746987,417,0,0,0,0,56113,226395,0,0,0,3131081,0,0,0,0,3347302,0,42593,0,153,4692975,0,13779533,0,0,0,69219993,0,0,0
69967,"Articles of iron/steel wire, n.e.s.",0,0,0,0,14008,0,60565,82467,0,0,0,0,0,0,349534,0,0,0,0,0,9679,0,2261,0,0,0,51211,0,0,2931,8545731,0,0,0,0,0,0,0,0,87178,255894,0,0,45458,0,0,520123,0,566947,537785,0,0,7156727,0,469,0,0,0,0,467105,58184,0,0,72991,0,0,1172,81541,1624591,0,986699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192809,0,0,0,0,30320,0,0,0,0,0,0,0,0,224147,65481,0,0,0,5700,0,0,0,0,0,0,59969,136123,0,0,5752,0,0,98,0,0,350548,161,0,6901,705719,42095,186799,0,0,0,0,56158,254807,0,0,0,50877,0,0,0,0,3817,0,20491,0,0,380201,0,1679321,0,0,0,26681613,0,0,0
69969,"Articles of iron/steel, n.e.s.",0,0,0,3690,392,708,686066,2360218,0,0,170905,2423084,0,36558,3169651,0,124,0,5957,0,2495086,0,119863,0,404,0,1073338,0,0,81189,132373594,300,0,1684,34423,0,1228,0,0,1437808,2450133,56405,0,703368,202,0,821703,0,1476740,46904359,0,0,45887490,0,14334,0,0,0,0,3175777,644325,0,0,10350260,310,0,144133,4655780,20874632,0,59775547,2335,3540,0,0,0,0,308944,351,0,1405,107280,0,0,0,2518559,0,0,0,4073,769748,0,0,0,137,0,0,0,0,3308606,549471,0,0,1234,5638662,4145,4116,0,0,0,154,3911612,2375931,48707,16532,1073572,4711177,0,117570,0,0,4536239,172352,77703,518628,37096405,4578279,127489,0,0,0,16888,8376159,3837076,0,0,0,22535208,0,0,3310,811,1858299,0,23516080,0,2304,17688327,0,41489151,0,0,3110099,549749944,0,0,51
73731,"Soldering irons & guns",0,0,0,0,0,0,138,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,693297,0,0,0,0,0,0,0,0,6367,0,0,0,0,0,0,0,0,0,3967,0,0,157641,0,0,0,0,0,0,11070,0,0,0,0,0,0,0,0,476,0,112253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19250,0,0,0,0,20371,0,0,0,0,0,0,0,0,96429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24317,0,0,0,43743,62230,0,0,0,0,0,307,250,0,0,0,0,0,0,0,0,0,0,2066,0,0,33407,0,21130,0,0,0,1376129,0,0,0
77584,"Electric smoothing-irons",0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2602178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19855,0,0,0,0,0,0,1715,0,0,0,233095,0,0,0,0,24,0,210312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53980,0,0,0,8,1193,0,0,0,0,0,0,0,0,0,0,16897,0,0,0,0,0,0,27608,0,0,17915,0,1803,0,0,0,3186909,0,0,0
