"Product","Commodity","Afghanistan","Albania","Algeria","Angola","Argentina","Armenia","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Benin","Bermuda","Bolivia","Bosnia Herzegovina","Botswana","Brazil","Brunei Darussalam","Bulgaria","Burkina Faso","Cambodia","Cameroon","Canada","Cayman Isds","Chad","Chile","China","Colombia","Congo","Congo Democratic","Costa Rica","Côte d'Ivoire","Cote de voire","Croatia","Cuba","Cyprus","Czechia","Denmark","Dominican Rep.","Ecuador","Egypt","El Salvador","Equatorial Guinea","Estonia","Ethiopia","Finland","France","Gabon","Georgia","Germany","Ghana","Greece","Guatemala","Guinea","Haiti","Honduras","Hong Kong","Hungary","Iceland","India","Indonesia","Iran","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kuwait","Kyrgyzstan","Laos","Latvia","Lebanon","Libya","Lithuania","Luxembourg","Macao","Madagascar","Malawi","Malaysia","Mali","Malta","Mauritania","Mauritius","Mexico","Moldova","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Nepal","Netherlands","New Zealand","Nicaragua","Niger","Nigeria","Norway","Oman","Pakistan","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Qatar","Romania","Russia","Rwanda","Saudi Arabia","Senegal","Serbia","Singapore","Slovakia","Slovenia","South Africa","South Korea","Spain","Sri Lanka","State of Palestine","Sudan","Suriname","Swaziland","Sweden","Switzerland","Tajikistan","Tanzania","TFYR of Macedonia","Thailand","Timor-Leste","Togo","Trinidad and Tobago","Tunisia","Turkey","Turkmenistan","UAE","Uganda","Ukraine","United Kingdom","Uruguay","USA","Uzbekistan","Venezuela","Vietnam","World","Yemen","Zambia","Zimbabwe"
27861,"Granulated slag (slag sand) from the manufacture of iron/steel",0,0,0,0,0,0,950120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48773,0,0,0,0,0,999107,0,0,0
27862,"Slag, dross (other than granulated slag), scalings & other waste from the manufacture of iron/steel",0,0,0,0,0,0,509264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2450,0,0,0,826906,0,0,0
28231,"Waste & scrap of tinned iron/steel",0,0,0,296445,0,0,15872,0,0,0,252690,759884,0,0,66387,0,0,0,0,0,471970,0,0,0,0,0,0,0,0,0,1125928,0,0,0,0,0,94371,0,0,0,0,185931,0,0,103668,0,25426,0,131614,0,0,48178,173124,885089,39300,506211,0,0,0,0,0,96526,0,0,0,0,0,40952,243558,0,0,84264,0,0,0,277149,0,0,0,0,0,0,0,0,0,0,152545,0,0,0,0,0,0,0,0,0,0,0,0,0,123343,0,0,0,0,0,353417,0,0,0,0,0,0,321590,0,0,0,0,0,0,0,0,290474,0,0,2860311,134644,0,0,0,46528,0,0,0,0,0,0,0,287030,0,110964,0,0,0,0,2943003,0,0,3678074,0,1511116,0,0,0,19133782,0,0,0
28233,"Remelting scrap ingots of iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42389,0,0,0,0,0,183368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1129003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69992,0,0,0,0,0,0,0,0,0,0,0,65256,0,0,0,0,0,0,0,0,1498683,0,0,0
52254,"Iron oxides & hydroxides; earth colours containing 70%/more by weight of combined iron evaluated as Fe203",0,0,0,0,0,0,44522,601446,0,0,0,0,0,0,5357,0,0,0,0,0,42547,0,52010,0,0,0,92,0,0,0,13883376,116661,0,0,0,0,0,0,0,0,30376,0,0,0,86086,0,0,0,0,0,53658,0,0,4614173,23808,2482,0,0,0,0,185340,0,0,0,71848,30449,0,428,0,398977,0,1090617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110017,0,0,0,0,0,0,0,0,20928,0,0,0,0,66662,22834,0,0,0,0,0,0,0,0,0,0,0,5559,27892,0,0,62621,0,38391,0,0,88889,0,962,19195,1676781,32191,70841,0,0,0,0,92464,0,0,0,0,75556,0,0,0,0,66445,0,127048,0,105271,187888,0,365591,0,0,21683,24913443,12170,0,0
67121,"n/a pig-iron containing by weight 0.5%/less of phosphorus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,15795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98155,0,0,0,0,0,0,0,0,0,0,0,1160076,0,0,0,0,0,0,0,4647888,0,0,0,0,0,0,0,0,25657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6111659,0,0,0
67122,"Non-alloy pig-iron containing by weight more than 0.5% of phosphorus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67123,"Alloy pig-iron & spiegeleisen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69012,0,0,0,0,0,0,0,0,0,17807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571054,0,0,0,0,0,0,0,0,0,0,164426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32950,0,26503,0,0,0,1041319,0,0,0
67131,"Granules of pig-iron, spiegeleisen, iron/steel",0,0,0,0,0,0,0,0,0,0,0,0,0,91328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4423838,0,0,0,0,0,27100,0,0,0,0,34363,0,0,27111,0,0,0,0,0,3436981,0,30828,1578360,0,0,0,0,0,0,0,0,0,0,3131,23238,0,0,0,6467159,0,249531,0,18309,0,0,0,0,0,0,0,0,0,0,0,0,94538,0,0,0,0,16020,0,0,0,0,0,44536,0,0,21465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21151,564213,59929,0,41940,0,0,125922,0,40846,1962106,486056,7995887,0,0,0,0,0,63119,1780,0,0,0,1423620,0,0,0,0,261734,0,109463,0,775371,378248,0,794153,0,0,19702,33889672,0,0,0
67132,"Powders of pig-iron, spiegeleisen, iron/steel",0,0,0,0,0,0,127450,5943,0,0,0,0,0,0,782440,0,0,0,0,0,949268,0,0,0,0,0,2337150,0,0,0,4670829,0,0,0,0,0,0,0,0,0,0,39140,0,0,157852,0,0,0,0,2247,695608,0,0,2456828,0,0,0,0,0,1529,257785,0,0,0,86979,0,0,9950,19714,315544,0,2451250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95396,0,0,0,0,0,0,0,0,0,0,0,0,0,28112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75547,1541718,612,0,0,0,0,7213,0,0,0,165329,221,1054,0,0,0,0,8473743,6449,0,0,0,257459,0,0,0,0,36115,0,20145,0,10751,3389168,0,5413018,0,0,0,35199989,0,0,0
